tokens,token_n,N_1,new
ϰητος,1266,1266,0
",",1267,1267,1
_Greek_,1268,1268,0
.,1269,1269,1
CETUS,1270,1270,0
",",1271,1271,1
_Latin_,1272,1272,0
.,1273,1273,1
WHŒL,1274,1274,0
",",1275,1275,1
_Anglo-Saxon_,1276,1276,0
.,1277,1277,1
HVALT,1278,1278,0
",",1279,1279,1
_Danish_,1280,1280,0
.,1281,1281,1
WAL,1282,1282,0
",",1283,1283,1
_Dutch_,1284,1284,0
.,1285,1285,1
HWAL,1286,1286,0
",",1287,1287,1
_Swedish_,1288,1288,0
.,1289,1289,1
WHALE,1290,1290,1
",",1291,1291,1
_Icelandic_,1292,1292,0
.,1293,1293,1
WHALE,1294,1294,1
",",1295,1295,1
_English_,1296,1296,0
.,1297,1297,1
BALLENA,1298,1298,0
",",1299,1299,1
_Spanish_,1300,1300,0
.,1301,1301,1
PEKEE-NUEE-NUEE,1302,1302,0
",",1303,1303,1
_Fegee_,1304,1304,0
.,1305,1305,1
PEHEE-NUEE-NUEE,1306,1306,0
",",1307,1307,1
_Erromangoan_,1308,1308,0
.,1309,1309,1
EXTRACTS,1310,1310,1
.,1311,1311,1
(,1312,1312,1
Supplied,1313,1313,1
by,1314,1314,1
a,1315,1315,1
Sub-Sub-Librarian,1316,1316,1
),1317,1317,1
.,1318,1318,1
It,1319,1319,1
will,1320,1320,0
be,1321,1321,1
seen,1322,1322,0
that,1323,1323,1
this,1324,1324,1
mere,1325,1325,0
painstaking,1326,1326,0
burrower,1327,1327,0
and,1328,1328,1
grub-worm,1329,1329,0
of,1330,1330,1
a,1331,1331,1
poor,1332,1332,0
devil,1333,1333,0
of,1334,1334,1
a,1335,1335,1
Sub-Sub,1336,1336,0
appears,1337,1337,0
to,1338,1338,1
have,1339,1339,0
gone,1340,1340,0
through,1341,1341,1
the,1342,1342,1
long,1343,1343,0
Vaticans,1344,1344,0
and,1345,1345,1
street-stalls,1346,1346,0
of,1347,1347,1
the,1348,1348,1
earth,1349,1349,0
",",1350,1350,1
picking,1351,1351,0
up,1352,1352,1
whatever,1353,1353,0
random,1354,1354,0
allusions,1355,1355,0
to,1356,1356,1
whales,1357,1357,0
he,1358,1358,0
could,1359,1359,0
anyways,1360,1360,0
find,1361,1361,0
in,1362,1362,1
any,1363,1363,0
book,1364,1364,0
whatsoever,1365,1365,0
",",1366,1366,1
sacred,1367,1367,0
or,1368,1368,1
profane,1369,1369,0
.,1370,1370,1
Therefore,1371,1371,0
you,1372,1372,1
must,1373,1373,0
not,1374,1374,1
",",1375,1375,1
in,1376,1376,1
every,1377,1377,0
case,1378,1378,0
at,1379,1379,1
least,1380,1380,0
",",1381,1381,1
take,1382,1382,1
the,1383,1383,1
higgledy-piggledy,1384,1384,0
whale,1385,1385,0
statements,1386,1386,0
",",1387,1387,1
however,1388,1388,0
authentic,1389,1389,0
",",1390,1390,1
in,1391,1391,1
these,1392,1392,0
extracts,1393,1393,0
",",1394,1394,1
for,1395,1395,1
veritable,1396,1396,0
gospel,1397,1397,0
cetology,1398,1398,0
.,1399,1399,1
Far,1400,1400,0
from,1401,1401,1
it,1402,1402,1
.,1403,1403,1
As,1404,1404,0
touching,1405,1405,0
the,1406,1406,1
ancient,1407,1407,0
